"MAKE","MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"New Holland","NH6010","895438","761122","662176","602580","548348","515447","484520","455449","428122","402435","378289","355591","334256","314201","295349","206744","194339","182679","171718","161415"
"New Holland","NH7500","1095129","941811","819375","737438","663694","623872","586440","551254","518178","487088","457862","430391","404567","380293","357476","250233","235219","221106","207839","195369"
"Power Trac","POWERTRAC 4455","567059","487671","424273","381846","343661","323042","303659","285440","268313","252215","237082","222857","209485","196916","185101","129571","121797","114489","107619","101162"
"Power Trac","PT- EURO 41","648136","557397","484935","436442","392797","369230","347076","326251","306676","288276","270979","254720","239437","225071","211567","148097","139211","130858","123007","115626"
"Power Trac","PT-430 Plus","443688","381572","331967","298771","268894","252760","237594","223339","209938","197342","185502","174371","163909","154075","144830","101381","95298","89580","84206","79153"
"Preet ","PREET-4549","469364","403653","351178","316060","284454","267387","251344","236263","222087","208762","196236","184462","173394","162991","153211","107248","100813","94764","89078","83734"
"Preet ","PREET-955","526655","463456","407841","367057","337693","317431","298385","280482","263653","247834","232964","218986","205847","193496","181886","127320","119681","112500","105750","99405"
"Preet ","PREET-3549","438262","376905","327907","295117","265605","249669","234689","220607","207371","194929","183233","172239","161905","152190","143059","100141","94133","88485","83176","78185"
"Sonalika ","DI-60 MM","656282","557840","485321","441642","401894","377780","355114","333807","313778","294952","277255","260619","244982","230283","216466","151526","142435","133889","125855","118304"
"Sonalika ","DI-60","805003","724503","659297","606554","564095","530249","498434","468528","440416","413991","389152","365803","343855","323223","303830","212681","199920","187925","176649","166050"
"Sonalika ","ITL 20","327467","281622","245011","220510","198459","186551","175358","164837","154947","145650","136911","128696","120974","113716","106893","74825","70336","66115","62148","58420"
"Sonalika ","ITL26G","458994","394734","343419","309077","278169","261479","245790","231043","217180","204150","191901","180387","169563","159390","149826","104878","98586","92671","87110","81884"
"Sonalika ","ITL32RX","449502","382076","332407","302490","275266","258750","243225","228631","214914","202019","189898","178504","167794","157726","148262","103784","97557","91703","86201","81029"
"Swaraj","SWARAJ 960PS","748625","636331","553608","503784","458443","430936","405080","380775","357929","336453","316266","297290","279453","262685","246924","172847","162476","152728","143564","134950"
"Swaraj","SWARAJ 717","304579","258892","225236","204965","186518","175327","164807","154919","145624","136886","128673","120953","113696","106874","100461","70323","66104","62137","58409","54905"
"TAFE ","TAFE 9500","777547","660915","574996","523246","476154","447585","420730","395486","371757","349451","328484","308775","290249","272834","256464","179525","168753","158628","149110","140164"
"TAFE ","TAFE 1030","573706","527809","485585","446738","415466","390538","367106","345080","324375","304912","286618","269420","253255","238060","223776","156643","147245","138410","130106","122299"
"TAFE ","TAFE1035 PD","676183","622089","572322","526536","489678","460298","432680","406719","382316","359377","337814","317545","298493","280583","263748","184624","173546","163133","153345","144145"
"TAFE ","TAFE 5245","728945","626893","545397","490857","441772","415265","390349","366928","344913","324218","304765","286479","269290","253133","237945","166561","156568","147174","138343","130043"
"John Deere","JD 5305","686359","590269","513534","462180","415962","391005","367544","345492","324762","305276","286960","269742","253558","238344","224044","156831","147421","138575","130261","122445"
"Power Trac","PTALT 3500","536256","455818","396561","360871","328392","308689","290168","272757","256392","241009","226548","212955","200178","188167","176877","123814","116385","109402","102838","96668"
"Power Trac","PTALT 4000","574332","488182","424719","386494","351709","330607","310770","292124","274597","258121","242634","228076","214391","201528","189436","132605","124649","117170","110140","103531"
"Sonalika ","ITL MM 39","471708","400952","348828","317433","288864","271532","255241","239926","225531","211999","199279","187322","176083","165518","155587","108911","102376","96233","90459","85032"
"Kubota ","MU5501 -4WD","828455","704187","612642","557504","507329","476889","448276","421379","396097","372331","349991","328992","309252","290697","273255","191279","179802","169014","158873","149341"
"Kubota ","MU5502 - 2WD","699958","594964","517619","471033","428640","402922","378746","356022","334660","314581","295706","277963","261286","245609","230872","161610","151914","142799","134231","126177"
"Kubota ","MU5502 - 4WD","855532","727202","632666","575726","523911","492476","462927","435152","409043","384500","361430","339744","319360","300198","282186","197530","185679","174538","164066","154222"
"Kubota ","B2441","421053","357895","311369","283345","257844","242374","227831","214161","201312","189233","177879","167206","157174","147743","138879","97215","91382","85899","80745","75901"
"John Deere","JD_5405 ","741542","630311","548370","499017","454105","426859","401248","377173","354542","333270","313274","294477","276809","260200","244588","171212","160939","151283","142206","133673"
"Sonalika","WORLDTRAC 60 RX","696399","591940","514987","468639","426461","400873","376821","354212","332959","312981","294203","276550","259957","244360","229698","160789","151142","142073","133549","125536"
