"MAKE","MODEL","2025","2024","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"TAFE ","TAFE 1134","476822","419603","369251","332326","305740","287395","270151","253942","238706","224383","210920","198265","186369","175187","164676","115273","108357","101855","95744","89999"
"New Holland","NH 3600-2","870235","800616","736567","677642","630207","592394","556851","523440","492033","462511","434761","408675","384154","361105","339439","237607","223351","209950","197353","185512"
"Escorts ","Fram trac_39 ","692686","637271","586289","539386","501629","471531","443240","416645","391647","368148","346059","325295","305778","287431","270185","189130","177782","167115","157088","147663"
"Escorts ","Fram trac_42 ","714588","657421","604827","556441","517490","486441","457254","429819","404030","379788","357001","335581","315446","296519","278728","195110","183403","172399","162055","152332"
"Kubota ","MU4501- 2WD - STD","716225","658927","606213","557716","518676","487555","458302","430804","404956","380658","357819","336350","316169","297199","279367","195557","183823","172794","162426","152681"
"Kubota ","MU4501- 4WD","789367","710431","646492","594772","553138","519950","488753","459428","431862","405951","381593","358698","337176","316945","297929","208550","196037","184275","173218","162825"
"Kubota ","MU5501","828688","754106","693778","645213","600049","564046","530203","498391","468487","440378","413955","389118","365771","343825","323195","226237","212662","199903","187909","176634"
"Kubota ","A211N","378216","340394","309759","284978","265030","249128","234180","220129","206922","194506","182836","171866","161554","151861","142749","99924","93929","88293","82995","78016"
"John Deere","JD 5041 C","463372","421669","387935","360780","335525","315394","296470","278682","261961","246243","231469","217580","204526","192254","180719","126503","118913","111778","105072","98767"
"Escort ","FARMTRAC 35","628014","577773","531551","489027","454795","427507","401857","377746","355081","333776","313749","294924","277229","260595","244960","171472","161183","151512","142422","133876"
"TAFE","MF 7235","554832","499348","454407","418055","388791","365463","343535","322923","303548","285335","268215","252122","236995","222775","209409","146586","137791","129523","121752","114447"
"John Deere","JD 5205","693948","638432","587357","540369","502543","472390","444047","417404","392360","368818","346689","325888","306335","287954","270677","189474","178106","167419","157374","147932"
"Power trac ","PT_EURO_55","871975","749898","652411","587170","528453","496746","466941","438925","412589","387834","364564","342690","322129","302801","284633","199243","187288","176051","165488","155559"
"Swaraj","SWARAJ 744 FE ","781341","711021","654139","608349","565765","531819","499910","469915","441720","415217","390304","366886","344873","324180","304730","213311","200512","188481","177172","166542"
"TAFE ","TAFE_MF_246","725385","638339","561738","505564","465119","437212","410979","386320","363141","341353","320872","301619","283522","266511","250520","175364","164842","154952","145655","136915"
"SOLIS ","SOLIS 4415 2WD","602181","511854","445313","405235","368764","346638","325840","306289","287912","270637","254399","239135","224787","211300","198622","139035","130693","122852","115480","108552"
"SOLIS ","SOLIS 4415 4WD","686522","583544","507683","461992","420412","395188","371476","349188","328236","308542","290030","272628","256270","240894","226440","158508","148998","140058","131654","123755"
"John Deere","5075E","1106717","940710","818417","744760","677731","637068","598844","562913","529138","497390","467546","439494","413124","388337","365036","255525","240194","225782","212235","199501"
"NEW HOLLAND","NH 3030","518481","445893","387927","349135","314221","295368","277646","260987","245328","230608","216772","203765","191539","180047","169244","118471","111363","104681","98400",""
"TMTL (EICHER)","EIC 650","851881","732618","637377","573640","516276","485299","456181","428810","403082","378897","356163","334793","314706","295823","278074","194652","182973","171994","161675","151974"
"Sonalika","Solis 5015 2wd","672954","572011","497650","452861","412104","387378","364135","342287","321750","302445","284298","267240","251206","236133","221965","155376","146053","137290","129053","121309"
"Solis ","SOLIS 4415 2WD","602181","511854","445313","405235","368764","346638","325840","306289","287912","270637","254399","239135","224787","211300","198622","139035","130693","122852","115480","108552"
"Solis ","SOLIS 4415 4WD","686522","583544","507683","461992","420412","395188","371476","349188","328236","308542","290030","272628","256270","240894","226440","158508","148998","140058","131654","123755"
"John Deere","5075E","1106717","940710","818417","744760","677731","637068","598844","562913","529138","497390","467546","439494","413124","388337","365036","255525","240194","225782","212235","199501"
"M&M","405  YUVO TECH +","665934","599340","545400","501768","466644","438645","412327","387587","364332","342472","321924","302608","284452","267385","251341","175939","165383","155460","146132","137364"
"M&M","405 4WD YUVO TECH +","777571","699814","636831","585884","544872","512180","481449","452562","425408","399884","375891","353337","332137","312209","293476","205433","193107","181521","170630","160392"
